tstamp,textRaw,text,address,lat,lon
2019-04-09 11:46:14,Subject-SAVOY FIRE DEPARTMENT Msg-REGULAR ALARM VILLAS OF HOLLYBROOK-AIR #26 SV at 68 E AIRPORT RD #26 SV btwn S DUNLAP AV and RIDGE CREEK RD RURF R0800 SMOKE IN THE ROOM RP THINKS FOOD ON STOVE NO SIGNS OF FIRE BUT UNCERTAIN IF COOKING RELATED FOR SURE Unit:SVOY - From METCAD 04/09/2019 11:46:01,REGULAR ALARM VILLAS OF HOLLYBROOK-AIR #26 SV at 68 E AIRPORT RD #26 SV btwn S DUNLAP AV and RIDGE CREEK RD RURF R0800 SMOKE IN THE ROOM RP THINKS FOOD ON STOVE NO SIGNS OF FIRE BUT UNCERTAIN IF COOKING RELATED FOR SURE Unit:SVOY - From METCAD 04/09/2019 11:46:01,68 E AIRPORT RD #26 Savoy,,
2019-04-09 17:07:58,Subject-SAVOY FIRE DEPARTMENT Msg-WORKING INCIDENT 1 ROWENA DR URT btwn PERKINS RD and PRIVATE DRIVE RURF R0607 HOUSE IS ON FIRE CALL THRU SPANISH LINE Units:CRRL EDSC EPRA SVOY ARR - From METCAD 04/09/2019 17:07:45,WORKING INCIDENT 1 ROWENA DR URT btwn PERKINS RD and PRIVATE DRIVE RURF R0607 HOUSE IS ON FIRE CALL THRU SPANISH LINE Units:CRRL EDSC EPRA SVOY ARR - From METCAD 04/09/2019 17:07:45,INCIDENT 1 ROWENA DR Urbana,40.1275378,-88.18818449999999
2019-04-09 22:22:14,Subject-SAVOY FIRE DEPARTMENT Msg-REGULAR ALARM CU REGIONAL REHAB-BUR SV at 302 BURWASH AV SV btwn REGENCY DR E and REGENCY DR W RURF R0801 WATERFLOW ALARM Units:SVOY TOLO - From METCAD 04/09/2019 22:21:59,REGULAR ALARM CU REGIONAL REHAB-BUR SV at 302 BURWASH AV SV btwn REGENCY DR E and REGENCY DR W RURF R0801 WATERFLOW ALARM Units:SVOY TOLO - From METCAD 04/09/2019 22:21:59,302 BURWASH AV Savoy,40.0741058,-88.25368180000001
2019-04-10 13:32:22,Subject-SAVOY FIRE DEPARTMENT Msg-REGULAR ALARM 100 PARKVIEW LN SV at 100 PARKVIEW LN SV btwn E CURTIS RD and E CURTIS RD RURF R0800 SMOKE ALARM ZONE 328 Unit:SVOY - From METCAD 04/10/2019 13:32:01,REGULAR ALARM 100 PARKVIEW LN SV at 100 PARKVIEW LN SV btwn E CURTIS RD and E CURTIS RD RURF R0800 SMOKE ALARM ZONE 328 Unit:SVOY - From METCAD 04/10/2019 13:32:01,100 PARKVIEW LN Savoy,40.06632,-88.24228400000001
2019-04-11 17:29:02,Subject-SAVOY FIRE DEPARTMENT Msg-MEDICAL VILLAS OF HOLLYBROOK-AIR #14 SV at 68 E AIRPORT RD #14 SV btwn S DUNLAP AV and RIDGE CREEK RD RURF R0800 Medical ProQA recommends dispatch at this time Unit:SVOY - From METCAD 04/11/2019 17:28:48,MEDICAL VILLAS OF HOLLYBROOK-AIR #14 SV at 68 E AIRPORT RD #14 SV btwn S DUNLAP AV and RIDGE CREEK RD RURF R0800 Medical ProQA recommends dispatch at this time Unit:SVOY - From METCAD 04/11/2019 17:28:48,68 E AIRPORT RD #14 Savoy,,
2019-04-12 11:03:54,Subject-SAVOY FIRE DEPARTMENT Msg-PUBLIC ASSIST 3000 S FIRST ST URT btwn E WINDSOR RD and E CURTIS RD RURF R0800 RESIDENT FELL REQ LIFT ASSIST ONLY. 90YOM Unit:SVOY - From METCAD 04/12/2019 11:03:45,PUBLIC ASSIST 3000 S FIRST ST URT btwn E WINDSOR RD and E CURTIS RD RURF R0800 RESIDENT FELL REQ LIFT ASSIST ONLY. 90YOM Unit:SVOY - From METCAD 04/12/2019 11:03:45,3000 S FIRST ST Urbana,40.0758439,-88.2378463
2019-04-13 19:26:54,Subject-SAVOY FIRE DEPARTMENT Msg-MEDICAL 27 WILLOW CT CHT btwn LAKE PARK RD and END RURF R0800 MEDICAL PROQA RECOMMENDS DISPATCH AT THIS TIME Unit:SVOY - From METCAD 04/13/2019 19:26:47,MEDICAL 27 WILLOW CT CHT btwn LAKE PARK RD and END RURF R0800 MEDICAL PROQA RECOMMENDS DISPATCH AT THIS TIME Unit:SVOY - From METCAD 04/13/2019 19:26:47,27 WILLOW CT CHT,40.21704,-74.68401399999999
2019-04-14 09:42:17,Subject-SAVOY FIRE DEPARTMENT Msg-RESCUE E CHURCH ST/ESSEX LN SV <250/ 100> RURF R0800 SUBJ W/ NECK/BACK PAIN AFTER ACCIDENT 29B1 Units:ARR SVOY - From METCAD 04/14/2019 09:42:09,RESCUE E CHURCH ST/ESSEX LN SV <250/ 100> RURF R0800 SUBJ W/ NECK/BACK PAIN AFTER ACCIDENT 29B1 Units:ARR SVOY - From METCAD 04/14/2019 09:42:09,E CHURCH ST/ESSEX LN Savoy,40.0544519,-88.24728309999999
2019-04-14 11:06:24,Subject-SAVOY FIRE DEPARTMENT Msg-REGULAR ALARM 100 PARKVIEW LN SV at 100 PARKVIEW LN SV btwn E CURTIS RD and E CURTIS RD RURF R0800 SMOKE DETECTOR GENERAL. PREMISE TX 352-3938 Unit:SVOY - From METCAD 04/14/2019 11:06:11,REGULAR ALARM 100 PARKVIEW LN SV at 100 PARKVIEW LN SV btwn E CURTIS RD and E CURTIS RD RURF R0800 SMOKE DETECTOR GENERAL. PREMISE TX 352-3938 Unit:SVOY - From METCAD 04/14/2019 11:06:11,100 PARKVIEW LN Savoy,40.06632,-88.24228400000001
2019-04-17 19:19:22,Subject-SAVOY FIRE DEPARTMENT Msg-MEDICAL HMD ACADEMWOO SV at 1701 WOODFIELD DR SV btwn ARBOURS DR and DUNLAP CT RURF R0800 ACADEMY OF TAEKWONDOMedical ProQA recommends dispatch at this time Unit:SVOY - From METCAD 04/17/2019 19:19:11,MEDICAL HMD ACADEMWOO SV at 1701 WOODFIELD DR SV btwn ARBOURS DR and DUNLAP CT RURF R0800 ACADEMY OF TAEKWONDOMedical ProQA recommends dispatch at this time Unit:SVOY - From METCAD 04/17/2019 19:19:11,1701 WOODFIELD DR Savoy,40.076419386014486,-88.24925411635905
2019-04-18 15:32:14,Subject-SAVOY FIRE DEPARTMENT Msg-STILL S DUNLAP AV/1000N SV <1599/ 1099> RURF R0800 FOR GAS SPILLING IN TO THE WATERWAY....OFF DUTY FF ONSCENE THINKS FIRE SHOULD BE SENT Unit:SVOY - From METCAD 04/18/2019 15:32:04,STILL S DUNLAP AV/1000N SV <1599/ 1099> RURF R0800 FOR GAS SPILLING IN TO THE WATERWAY....OFF DUTY FF ONSCENE THINKS FIRE SHOULD BE SENT Unit:SVOY - From METCAD 04/18/2019 15:32:04,S DUNLAP AV/1000N SV <1599/ 1099> RURF R0800 FOR GAS SPILLING IN Tolono,40.0440921,-88.2538063
2019-04-20 12:40:15,Subject-SAVOY FIRE DEPARTMENT Msg-STILL 505 S DUNLAP AVE SV at 505 S DUNLAP AV SV btwn JONES DR and AIRPORT RD RURF R0800 THRU CALL TO SAVOY FIRE STATION. MULCH BED WAS BURNING SS BY GROCERY PICK UP. ITS OUT NOW. Unit:SVOY - From METCAD 04/20/2019 12:40:05,STILL 505 S DUNLAP AVE SV at 505 S DUNLAP AV SV btwn JONES DR and AIRPORT RD RURF R0800 THRU CALL TO SAVOY FIRE STATION. MULCH BED WAS BURNING SS BY GROCERY PICK UP. ITS OUT NOW. Unit:SVOY - From METCAD 04/20/2019 12:40:05,505 S DUNLAP AV SV btwn JONES DR and AIRPORT RD RURF R0800 THRU CALL Tolono,40.0483004,-88.2552442
2019-04-21 05:03:24,Subject-SAVOY FIRE DEPARTMENT Msg-PUBLIC ASSIST 100 PARKVIEW LN #176 SV at 100 PARKVIEW LN #176 SV btwn E CURTIS RD and E CURTIS RD RURF R0800 LIFT ASSIST FOR 73 YO FEMALE IN BEDROOM. Unit:SVOY - From METCAD 04/21/2019 05:03:15,PUBLIC ASSIST 100 PARKVIEW LN #176 SV at 100 PARKVIEW LN #176 SV btwn E CURTIS RD and E CURTIS RD RURF R0800 LIFT ASSIST FOR 73 YO FEMALE IN BEDROOM. Unit:SVOY - From METCAD 04/21/2019 05:03:15,100 PARKVIEW LN #176 Savoy,,
2019-04-21 20:37:12,Subject-SAVOY FIRE DEPARTMENT Msg-MEDICAL CU REGIONAL REHAB-BUR #135 SV at 302 BURWASH AV #135 SV btwn REGENCY DR E and REGENCY DR W RURF R0801 LOW O2 STAT FEM POSS STROKE 28C2 Unit:SVOY - From METCAD 04/21/2019 20:37:07,MEDICAL CU REGIONAL REHAB-BUR #135 SV at 302 BURWASH AV #135 SV btwn REGENCY DR E and REGENCY DR W RURF R0801 LOW O2 STAT FEM POSS STROKE 28C2 Unit:SVOY - From METCAD 04/21/2019 20:37:07,302 BURWASH AV #135 Savoy,,
2019-04-22 09:30:51,Subject-SAVOY FIRE DEPARTMENT Msg-REGULAR ALARM WINDSOR OF SAVOY-BUR SV at 401 BURWASH AV SV btwn REGENCY DR W and S PROSPECT AV RURF R0801 GEN FIRE ZONE 1 Units:SVOY TOLO - From METCAD 04/22/2019 09:30:42,REGULAR ALARM WINDSOR OF SAVOY-BUR SV at 401 BURWASH AV SV btwn REGENCY DR W and S PROSPECT AV RURF R0801 GEN FIRE ZONE 1 Units:SVOY TOLO - From METCAD 04/22/2019 09:30:42,401 BURWASH AV Savoy,40.0732168,-88.25608059999999
2019-04-23 10:22:21,Subject-SAVOY FIRE DEPARTMENT Msg-PUBLIC ASSIST 100 PARKVIEW LN #176 SV at 100 PARKVIEW LN #176 SV btwn E CURTIS RD and E CURTIS RD RURF R0800 SUBSCRIBER MISS WOODSIDE HAD LEG GIVE OUT AND NEEDS LIFT ONLY Unit:SVOY - From METCAD 04/23/2019 10:22:08,PUBLIC ASSIST 100 PARKVIEW LN #176 SV at 100 PARKVIEW LN #176 SV btwn E CURTIS RD and E CURTIS RD RURF R0800 SUBSCRIBER MISS WOODSIDE HAD LEG GIVE OUT AND NEEDS LIFT ONLY Unit:SVOY - From METCAD 04/23/2019 10:22:08,100 PARKVIEW LN #176 Savoy,,
2019-04-23 11:43:02,Subject-SAVOY FIRE DEPARTMENT Msg-MEDICAL 2501 MELROSE DR CHT btwn REGENT CT and ETON CT RURF R0800 Medical ProQA recommends dispatch at this timeMedical ProQA Key Questions Unit:SVOY - From METCAD 04/23/2019 11:42:49,MEDICAL 2501 MELROSE DR CHT btwn REGENT CT and ETON CT RURF R0800 Medical ProQA recommends dispatch at this timeMedical ProQA Key Questions Unit:SVOY - From METCAD 04/23/2019 11:42:49,this timeMedical ProQA Key,,
2019-04-23 12:19:38,Subject-SAVOY FIRE DEPARTMENT Msg-MEDICAL 2501 MELROSE DR CHT btwn REGENT CT and ETON CT RURF R0800 DIFF PT IN THE SAME HOUSE FEM FEELING NERVOUS AFTER HER DAUGHTER WENT TO THE ER AND WANTING TO GO TO THE ER A LITTLE CONFUSEDMedical ProQA recommends dispatch at this time Unit:SVOY - From METCAD 04/23/2019 12:19:29,MEDICAL 2501 MELROSE DR CHT btwn REGENT CT and ETON CT RURF R0800 DIFF PT IN THE SAME HOUSE FEM FEELING NERVOUS AFTER HER DAUGHTER WENT TO THE ER AND WANTING TO GO TO THE ER A LITTLE CONFUSEDMedical ProQA recommends dispatch at this time Unit:SVOY - From METCAD 04/23/2019 12:19:29,this time Unit:SVOY -,40.054753,-88.2517165
2019-04-23 12:55:31,Subject-SAVOY FIRE DEPARTMENT Msg-STILL 313 BANBURY LN SV btwn BRADFORD AV and DENTON DR RURF R0800 RED MINIVAN THAT HAD FIRE UNDER WHEEL WELL. FIRE EXTRINGUISHED WITH EXTINGUISHER AND JUST SMOKING NOW. APPROX 10 FT FROM THE HOUSE Unit:SVOY - From METCAD 04/23/2019 12:55:18,STILL 313 BANBURY LN SV btwn BRADFORD AV and DENTON DR RURF R0800 RED MINIVAN THAT HAD FIRE UNDER WHEEL WELL. FIRE EXTRINGUISHED WITH EXTINGUISHER AND JUST SMOKING NOW. APPROX 10 FT FROM THE HOUSE Unit:SVOY - From METCAD 04/23/2019 12:55:18,313 BANBURY LN Savoy,40.053559840375314,-88.24580848503001
2019-04-23 20:03:56,Subject-SAVOY FIRE DEPARTMENT Msg-REGULAR ALARM 100 PARKVIEW LN SV at 100 PARKVIEW LN SV btwn E CURTIS RD and E CURTIS RD RURF R0800 SMOKE ALARM ACTIVATION NO LOCATION GIVEN Unit:SVOY - From METCAD 04/23/2019 20:03:50,REGULAR ALARM 100 PARKVIEW LN SV at 100 PARKVIEW LN SV btwn E CURTIS RD and E CURTIS RD RURF R0800 SMOKE ALARM ACTIVATION NO LOCATION GIVEN Unit:SVOY - From METCAD 04/23/2019 20:03:50,100 PARKVIEW LN Savoy,40.06632,-88.24228400000001
2019-04-24 08:23:14,Subject-SAVOY FIRE DEPARTMENT Msg-PUBLIC ASSIST 310 BUTTERCUP DR SV btwn TICKSEED AV and PRAIRIE ROSE LN RURF R0800 77 Y/O MALE NEEDING LIFT ASSISTANCE. Unit:SVOY - From METCAD 04/24/2019 08:23:03,PUBLIC ASSIST 310 BUTTERCUP DR SV btwn TICKSEED AV and PRAIRIE ROSE LN RURF R0800 77 Y/O MALE NEEDING LIFT ASSISTANCE. Unit:SVOY - From METCAD 04/24/2019 08:23:03,310 BUTTERCUP DR Savoy,40.05992445533431,-88.24515951386189
2019-04-24 19:11:30,Subject-SAVOY FIRE DEPARTMENT Msg-REGULAR 2712 E MAIN ST URT btwn BRADY LN and E MAIN ST SPUR RURF R0400 POSS GAS LINE STRUCK IN THE BASEMENT Units:EDSC CRRL EPRA SVOY - From METCAD 04/24/2019 19:11:17,REGULAR 2712 E MAIN ST URT btwn BRADY LN and E MAIN ST SPUR RURF R0400 POSS GAS LINE STRUCK IN THE BASEMENT Units:EDSC CRRL EPRA SVOY - From METCAD 04/24/2019 19:11:17,2712 E MAIN ST Urbana,40.11265640000001,-88.1703952
2019-04-25 06:31:29,Subject-SAVOY FIRE DEPARTMENT Msg-PUBLIC ASSIST 100 PARKVIEW LN #176 SV at 100 PARKVIEW LN #176 SV btwn E CURTIS RD and E CURTIS RD RURF R0800 73 YO FEM NEEDING LIFT HELP. Unit:SVOY - From METCAD 04/25/2019 06:31:18,PUBLIC ASSIST 100 PARKVIEW LN #176 SV at 100 PARKVIEW LN #176 SV btwn E CURTIS RD and E CURTIS RD RURF R0800 73 YO FEM NEEDING LIFT HELP. Unit:SVOY - From METCAD 04/25/2019 06:31:18,100 PARKVIEW LN #176 Savoy,,
